DEPARTMENT_ID,DEPARTMENT_NAME,LOCATION_ID
Accountant,6k - 10k,5
Accounting Manager,Acima de 10k,1
Administration Assistant,3k - 6k,1
Administration Vice President,Acima de 10k,2
Finance Manager,Acima de 10k,1
Human Resources Representative,6k - 10k,1
Marketing Manager,Acima de 10k,1
Marketing Representative,3k - 6k,1
President,Acima de 10k,1
Programmer,3k - 6k,4
Programmer,6k - 10k,1
Public Accountant,6k - 10k,1
Public Relations Representative,6k - 10k,1
Purchasing Clerk,3k - 6k,1
Purchasing Clerk,Até 3k,4
Purchasing Manager,Acima de 10k,1
Sales Manager,Acima de 10k,5
Sales Representative,6k - 10k,27
Sales Representative,Acima de 10k,3
Shipping Clerk,3k - 6k,11
Shipping Clerk,Até 3k,9
Stock Clerk,3k - 6k,7
Stock Clerk,Até 3k,13
Stock Manager,3k - 6k,1
Stock Manager,6k - 10k,4
